模型,策略,预见期,RMSE,MAE,NSE,R2,PBIAS(%),MAPE(%),NSE_log,RMSE_log,NSE等级
简单平均集成,多输出预测,3,768.49,367.92,0.1748,0.1953,-18.83,50.73,0.3241,0.7293,不满意 (Unsatisfactory)
简单平均集成,多输出预测,4,805.38,411.88,0.0944,0.1299,-13.4,62.77,0.2119,0.7884,不满意 (Unsatisfactory)
简单平均集成,多输出预测,5,823.84,419.13,0.0527,0.0988,-18.7,64.13,0.1605,0.8144,不满意 (Unsatisfactory)
简单平均集成,多输出预测,6,828.24,418.27,0.0428,0.0884,-22.62,64.07,0.1376,0.8262,不满意 (Unsatisfactory)
简单平均集成,多输出预测,7,846.58,437.78,0.0,0.0672,-23.31,66.92,0.0775,0.8552,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,1,626.38,246.9,0.4466,0.4493,-6.58,32.23,0.7048,0.4792,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,2,715.45,321.21,0.2836,0.2938,-11.27,42.23,0.5002,0.626,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,3,757.45,384.72,0.1983,0.2262,-5.36,59.06,0.3315,0.7252,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,4,767.01,387.52,0.1786,0.2037,-11.3,61.02,0.2402,0.7741,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,5,809.03,409.82,0.0865,0.1279,-15.95,62.89,0.1545,0.8174,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,6,825.62,431.52,0.0488,0.1046,-14.14,70.1,0.0881,0.8495,不满意 (Unsatisfactory)
Stacking 集成,多输出预测,7,832.59,441.93,0.0328,0.0875,-16.45,73.77,0.0368,0.8738,不满意 (Unsatisfactory)
