模型,策略,预见期,params,std_test_score,rank_test_score,mean_test_RMSE
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.092664069273106,2,0.7397411103241215
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.09290939509077882,3,0.7399169480961637
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.10806354982163315,4,0.7444007688326968
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.09905623685591369,5,0.7475416925567645
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.06993100829580012,6,0.7489332878082878
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.11831345381347501,7,0.7520758442589993
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.10224601390995994,8,0.7522406175102563
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.11429246456494326,9,0.7534695028852694
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.1176137668698997,10,0.7590852319395318
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.09860769610532305,11,0.7610999236036035
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.11014575284178617,12,0.7647416373952285
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11380294459054868,13,0.7673318190730272
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.11972097415453527,14,0.7724457131227219
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.1255561058018673,15,0.7729246914447504
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12056907437922876,16,0.7731801251934733
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.11485976096921632,17,0.7750002693480705
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.10165619842901395,18,0.7755538585248812
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.10713738579035156,19,0.7791871769329309
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.09425464430337097,20,0.7834815051785675
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11206612633577442,21,0.7854752177991623
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12457176427903394,22,0.7859650357733718
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.11619267577325884,23,0.7913537969185618
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.12568154910200424,24,0.8091645607761014
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.103001053911611,25,0.82767458164869
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.16300040540106125,26,0.8346386633571167
ANN,多步直接预测,5,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.14367997882431036,27,0.8368258595870975
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.15636223382222075,28,0.8401238478926546
ANN,多步直接预测,5,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.16914993241851903,29,0.8523269516372913
